Indicator,Trade flow,Commodity,Partner,Reporter,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
Value (US$),Imports,"22 Beverages, spirits and vinegar",Canada,USA,52433913,57937327,66233569,65811859,68183583,75760614,60335101,65354710,68661115,69477652,78998175,70710255,62557120,59042216,65373011,63136112,,65046259,67021122,67173372,,76297190,74879181,65221539,66478022,67860733,72751427,73520512,80937261,76680385,80460199,69523046,75726148,85531238,91034631,73340113,79923535,80362940,88632321,88740374,90460762,92902847,100982715,80626171,98506709,93820504,92577328,85197403,88300256,88717426,98255564,95114281,86705370,90632523,106556205,95254938,102847831,103484427,106166629
Value (US$),Imports,"22 Beverages, spirits and vinegar",Mexico,Canada,5926442,9740158,18916580,18273482,16026886,17552948,10293586,10824796,11604994,11790491,13582899,9001305,5415240,9248490,13243189,10893033,17182829,19187316,15574559,13365715,9490035,10192491,14770673,7033262,5360455,9548215,14778667,17460675,15104439,13434343,15763887,15858902,16516000,17969803,12728455,8278352,13921549,10769257,19294894,20807874,24867906,18277273,13257386,17452411,8587991,15346387,12075860,9117143,12030479,10420627,13914578,24280039,15881018,13912807,19177137,11796111,13292542,13136014,11074652
Value (US$),Imports,"22 Beverages, spirits and vinegar",Mexico,USA,336392712,375637216,432189824,448600345,459370237,444260486,368983151,371819778,384927923,355249720,372710451,361040442,363194178,369755632,454201118,439592157,,482091704,462666861,478522352,,436334759,389075949,399868347,394747609,409567489,489145280,514257603,545654482,523803454,515887379,521480722,452376641,482887567,420953706,433134868,374861369,441479665,584474511,598139020,638590196,599681761,625729675,538569649,522017631,598631382,496680269,421837465,508879825,520178606,624858223,565833589,420684183,623620369,732421063,753808855,767581985,797850959,766037989
Value (US$),Imports,"22 Beverages, spirits and vinegar",USA,Canada,128275044,141961618,153723844,161182425,189991959,191118348,178265655,189439506,174430033,192149808,185213128,151186853,158953841,157811920,176527564,158370326,196765256,179525577,203935461,200278605,177597895,193408188,185406234,146847242,146846075,151771240,166238170,175800543,185446614,193135771,189847729,187430562,173303729,176426579,170244580,144169411,135253674,124267527,156868941,169780333,165698881,174135380,189707190,182623347,167324646,182290413,159438057,150231425,151750371,147197456,163797699,143085315,136303220,174961794,193269097,202913633,189588843,204117051,189239453
Value (US$),Imports,"22 Beverages, spirits and vinegar",USA,Mexico,24212752,39118605,39857611,44856605,42573084,41101450,35075300,37591188,40768378,42173707,47800630,,36848177,30084219,34164294,27475796,31571996,31585800,46801401,50746454,46679750,54410384,36162863,24428885,35970416,39625236,37559672,36416298,38820938,39885812,40029859,41709613,36804971,36382835,35526879,23854273,33125872,20119007,28438390,27295646,33922854,29836970,33766460,30775433,33743076,33069875,22545621,20070362,27106596,22484152,26811711,47634291,36041835,37798633,29230426,37151322,32557293,30010713,
Value (US$),Imports,"22 Beverages, spirits and vinegar",World,Canada,274875975,325936496,359839110,385563603,428827346,446105201,386017380,459308453,429086934,456158991,453048677,310220373,327040741,329075493,413752028,356438109,445916430,431130193,443740606,471535753,430381948,489963598,497292248,318509331,363730143,355209149,412486116,427206566,451971897,429645936,454632959,462451001,436730593,506953091,453529588,318086281,346693382,316333053,403293672,432132384,452871142,435794994,445643479,462611592,416935928,483860414,443078407,329585027,356590063,321552250,398408814,402777148,397145663,422889606,407079220,393320916,494294259,538331193,505664750
Value (US$),Imports,"22 Beverages, spirits and vinegar",World,Mexico,55404810,68079014,91939192,90007017,80904494,84371186,82179251,110439268,133097808,108195078,104872395,,73284295,56738974,83660762,73122642,77105290,74469565,101057150,143567778,124071592,122431692,91139479,60878269,73746512,82525773,76517258,86926334,94404501,88999028,98845371,134290693,121698270,109415922,83696307,71532051,92916785,58263921,80151107,70839436,86582674,79810104,103365138,604403765,106788615,105031368,68857332,59640222,74468057,52956474,61797893,82313750,71574973,74813597,70121303,88000154,88098962,81077921,
Value (US$),Imports,"22 Beverages, spirits and vinegar",World,USA,1609910142,1696838941,2019971563,2006482167,2094805226,2032650796,1848396877,2096291131,1951063435,2121228699,2009468310,1924705237,,1689122579,,1973968921,,,,2239397732,,2302268092,2202526683,2074365615,1859455508,1820573947,2139680734,2279326293,2340632930,2225316649,2184182323,2297788874,2088734006,2539284271,2168775870,2143513922,1901296066,1804397649,2399853604,2461008059,2495071192,2381857625,2538589285,2380570070,2432117075,2623583092,2147739928,1989354109,2100658251,1978612130,2350939635,2125487027,1770770503,1881313000,2220124592,2667843207,2415072843,2571111865,2562653700
Value (US$),Exports,02 Meat and edible meat offal,Canada,Mexico,819220,1130430,1372573,1799649,1472612,2483699,1426946,1823024,1470801,790643,1385169,,1753518,1208550,1792948,1145626,1407842,1663801,1599891,1630317,1072908,1594915,1751641,1935184,2417007,1715300,2852166,2038941,1339300,2856867,1921971,3456762,1960422,1920389,2781307,2559299,3532158,2099824,2457844,3155816,4372823,4090292,3461471,2644938,2786152,3479660,3198339,3730951,2568950,4020385,4137029,3486411,7898825,5991751,3814487,5080620,6149888,4724832,
Value (US$),Exports,02 Meat and edible meat offal,Canada,USA,109980822,102883326,114741970,112138331,148947310,147025406,138174359,115214698,117435296,111945135,120719517,123956237,109664350,106979315,126697661,116319548,,131079025,143714451,119464520,,113480362,113134295,119589870,100485804,95590945,112881853,111246381,126045491,120998354,125518504,112106402,111472465,102214719,109640117,106021406,92688747,82736138,106308272,104198876,112678909,110229598,113288624,107170402,111089044,101150628,109297646,103174989,108383951,104787408,133366544,117044071,111731963,116115349,127598266,136228362,134896560,116732000,112124263
Value (US$),Exports,02 Meat and edible meat offal,Mexico,Canada,17621458,18133851,15811978,19346809,15496017,14978762,21028477,22941382,23460062,19668665,21656783,20390003,14653510,18626122,19816858,16496896,18725255,21286390,24540448,23334427,23194246,18540747,20946121,18759317,21253728,19524653,18719133,20581064,20138067,22671361,25297866,26306305,26130139,27874620,28357512,23107332,26338920,23266136,20741568,15771796,22854849,24095116,30703916,32491098,27596424,33344098,29255916,22069810,24797393,25489736,14821411,5986926,8943153,13025225,13745820,11529895,13433210,20974442,27735220
Value (US$),Exports,02 Meat and edible meat offal,Mexico,USA,199107703,219912974,219011631,241845570,259182454,245729334,250314279,272368833,265296395,244345087,267734834,296344550,257196719,235721533,260596721,224794551,,269890786,259107954,276145122,,272871867,269360610,276644041,272292489,254801737,244554726,285286946,253080065,239576537,233776153,257955817,223885341,264917012,236429830,232878328,240995573,215149751,222325972,247907201,261350789,261208140,293763855,284193140,245330046,260694562,275614597,305327775,318839760,272586140,263183236,160346797,131159453,159150096,182934960,179141112,197399647,243780656,290803871
Value (US$),Exports,02 Meat and edible meat offal,USA,Canada,195768751,191115216,212320198,197740309,198930066,187504501,201893968,215002350,208303368,218032671,202771678,190060882,170585178,179276764,207589023,201604932,210084282,227995800,230349394,224872984,200542345,206760473,215347945,183888686,190585444,187009365,218717183,197566191,202231126,214395650,215192687,215696661,209980223,223115383,215010451,204455682,205406683,192110664,236301512,202350842,212433602,219876494,211388991,232332190,225804721,238632523,246837944,203845719,203403646,183016256,209674024,135401317,287399649,267773242,219751563,232384250,212990791,265496089,267227506
Value (US$),Exports,02 Meat and edible meat offal,USA,Mexico,80483343,89942232,90746927,96157655,99919070,95387639,84106222,97566675,91424120,92069283,92469434,,91084824,81937000,94723818,79352389,98319771,97298833,100666448,96965758,85729936,99821236,101271797,88798257,99014823,97544308,95079171,79787169,120844702,119253016,107481771,101564634,92004914,98429602,101509248,95370250,106499846,112201369,120432151,119925944,119646739,109079267,112333568,111881115,110406549,121675747,116574278,113832394,112359508,109512794,128581379,121276406,197300174,187798509,143367686,144616356,132973248,106393634,
Value (US$),Exports,02 Meat and edible meat offal,World,Canada,349890471,356243478,392139469,379517820,380908394,379601007,383871507,404794820,418831551,427012289,423340770,406461324,348098442,375295099,445490505,401187021,430207411,448100034,432030924,433868412,416521566,423730835,466246295,393576849,377269734,388455087,443899490,407007922,441175930,434632737,414822586,429200715,422108886,454430328,458761867,433089060,423489993,420983386,518853797,447070914,500956118,480747719,429516352,455484878,453892062,497341664,500524563,490495431,509036862,485358103,522263749,418496065,573591431,523273535,506207226,468987729,501287950,595512969,584317907
